Date,Volume
11/23/2015 16:00:00,28235918
11/24/2015 16:00:00,24600043
11/25/2015 16:00:00,21005147
11/27/2015 16:00:00,9009132
11/30/2015 16:00:00,56241417
12/1/2015 16:00:00,39952779
12/2/2015 16:00:00,47274879
12/3/2015 16:00:00,38627835
12/4/2015 16:00:00,43963662
12/7/2015 16:00:00,30709765
12/8/2015 16:00:00,32878026
12/9/2015 16:00:00,36373209
12/10/2015 16:00:00,31775826
12/11/2015 16:00:00,39549497
12/14/2015 16:00:00,47006491
12/15/2015 16:00:00,39842998
12/16/2015 16:00:00,37503300
12/17/2015 16:00:00,41280907
12/18/2015 16:00:00,84684164
12/21/2015 16:00:00,37246325
12/22/2015 16:00:00,28322241
12/23/2015 16:00:00,27279832
12/24/2015 16:00:00,9570002
12/28/2015 16:00:00,22458293
12/29/2015 16:00:00,27731403
12/30/2015 16:00:00,21704505
12/31/2015 16:00:00,27334061
1/4/2016 16:00:00,53777963
1/5/2016 16:00:00,34079674
1/6/2016 16:00:00,39518863
1/7/2016 16:00:00,56564852
1/8/2016 16:00:00,48753969
1/11/2016 16:00:00,36943756
1/12/2016 16:00:00,36095539
1/13/2016 16:00:00,66883571
1/14/2016 16:00:00,52381918
1/15/2016 16:00:00,71820697
1/19/2016 16:00:00,43564538
1/20/2016 16:00:00,63272993
1/21/2016 16:00:00,40191157
1/22/2016 16:00:00,37555789
1/25/2016 16:00:00,34707717
1/26/2016 16:00:00,28900820
1/27/2016 16:00:00,36775194
1/28/2016 16:00:00,62513789
1/29/2016 16:00:00,83611686
2/1/2016 16:00:00,44208542
2/2/2016 16:00:00,56313753
2/3/2016 16:00:00,57559814
2/4/2016 16:00:00,46987123
2/5/2016 16:00:00,62008994
2/8/2016 16:00:00,59290497
2/9/2016 16:00:00,46740474
2/10/2016 16:00:00,38236954
2/11/2016 16:00:00,48878571
2/12/2016 16:00:00,34243324
2/16/2016 16:00:00,37291208
2/17/2016 16:00:00,40788968
2/18/2016 16:00:00,27176035
2/19/2016 16:00:00,33559073
2/22/2016 16:00:00,25008291
2/23/2016 16:00:00,28895274
2/24/2016 16:00:00,33014457
2/25/2016 16:00:00,26939467
2/26/2016 16:00:00,35975925
2/29/2016 16:00:00,31654036
3/1/2016 16:00:00,33024535
3/2/2016 16:00:00,29289884
3/3/2016 16:00:00,24427813
3/4/2016 16:00:00,33034150
3/7/2016 16:00:00,38428816
3/8/2016 16:00:00,33835119
3/9/2016 16:00:00,28251588
3/10/2016 16:00:00,38387804
3/11/2016 16:00:00,32275677
3/14/2016 16:00:00,24083616
3/15/2016 16:00:00,21104763
3/16/2016 16:00:00,31691742
3/17/2016 16:00:00,20539771
3/18/2016 16:00:00,67625518
3/21/2016 16:00:00,23925716
3/22/2016 16:00:00,23124143
3/23/2016 16:00:00,20129015
3/24/2016 16:00:00,19949972
3/28/2016 16:00:00,17025050
3/29/2016 16:00:00,23924329
3/30/2016 16:00:00,23008260
3/31/2016 16:00:00,26360495
4/1/2016 16:00:00,24399193
4/4/2016 16:00:00,18928810
4/5/2016 16:00:00,19272255
4/6/2016 16:00:00,21188682
4/7/2016 16:00:00,19225092
4/8/2016 16:00:00,22167223
4/11/2016 16:00:00,21414227
4/12/2016 16:00:00,24944288
4/13/2016 16:00:00,20817961
4/14/2016 16:00:00,20877108
4/15/2016 16:00:00,28793753
4/18/2016 16:00:00,23785950
4/19/2016 16:00:00,29596827
4/20/2016 16:00:00,36195714
4/21/2016 16:00:00,38909096
4/22/2016 16:00:00,126834091
4/25/2016 16:00:00,33226948
4/26/2016 16:00:00,33532636
4/27/2016 16:00:00,43369256
4/28/2016 16:00:00,43134846
4/29/2016 16:00:00,48411684
5/2/2016 16:00:00,33114539
5/3/2016 16:00:00,26460244
5/4/2016 16:00:00,24257556
5/5/2016 16:00:00,25390718
5/6/2016 16:00:00,24787301
5/9/2016 16:00:00,17951598
5/10/2016 16:00:00,22890966
5/11/2016 16:00:00,24039140
5/12/2016 16:00:00,24102781
5/13/2016 16:00:00,22592342
5/16/2016 16:00:00,20032017
5/17/2016 16:00:00,27803514
5/18/2016 16:00:00,24907532
5/19/2016 16:00:00,23842358
5/20/2016 16:00:00,23905769
5/23/2016 16:00:00,26118720
5/24/2016 16:00:00,34757944
5/25/2016 16:00:00,24204566
5/26/2016 16:00:00,24335223
5/27/2016 16:00:00,17721438
5/31/2016 16:00:00,37653081
6/1/2016 16:00:00,25324828
6/2/2016 16:00:00,22840779
6/3/2016 16:00:00,23368291
6/6/2016 16:00:00,18243271
6/7/2016 16:00:00,20866770
6/8/2016 16:00:00,21149438
6/9/2016 16:00:00,20305664
6/10/2016 16:00:00,25833151
6/13/2016 16:00:00,83217844
6/14/2016 16:00:00,42577106
6/15/2016 16:00:00,33757639
6/16/2016 16:00:00,31188605
6/17/2016 16:00:00,45710516
